66.249.65.155 bot - "2018-03-25 02:19:22" http://promotionalcommunications.org/index.php/pc/article/download/91/105 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.219 bot - "2018-03-25 02:20:17" http://promotionalcommunications.org/index.php/pc/article/view/32 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
148.64.56.70 - - "2018-03-25 02:24:54" http://promotionalcommunications.org/index.php/pc/article/view/99 200 "Mozilla/5.0 (compatible; GrapeshotCrawler/2.0; +http://www.grapeshot.co.uk/crawler.php)"
119.156.126.219 - - "2018-03-25 02:42:10" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
66.249.65.156 bot - "2018-03-25 02:44:11" http://promotionalcommunications.org/index.php/pc/article/view/87 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
207.46.13.9 bot - "2018-03-25 02:46:11" http://promotionalcommunications.org/index.php/pc/article/view/76 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.65.155 bot - "2018-03-25 02:49:55" http://promotionalcommunications.org/index.php/pc/article/view/113 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
116.84.110.36 - - "2018-03-25 02:53:34" http://promotionalcommunications.org/index.php/pc/article/view/111 200 "Mozilla/5.0 (iPad; CPU OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D100 Safari/604.1"
116.84.110.36 - - "2018-03-25 02:53:54" http://promotionalcommunications.org/index.php/pc/article/download/111/119 200 "Mozilla/5.0 (iPad; CPU OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D100 Safari/604.1"
116.84.110.36 - - "2018-03-25 02:53:57" http://promotionalcommunications.org/index.php/pc/article/download/111/119 200 "Mozilla/5.0 (iPad; CPU OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D100 Safari/604.1"
116.84.110.36 - - "2018-03-25 02:54:08" http://promotionalcommunications.org/index.php/pc/index 200 "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0"
116.84.110.36 - - "2018-03-25 02:54:09" http://promotionalcommunications.org/index.php/pc/index 200 "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0"
116.84.110.36 - - "2018-03-25 02:54:10" http://promotionalcommunications.org/index.php/pc/index 200 "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0"
116.84.110.36 - - "2018-03-25 02:54:11" http://promotionalcommunications.org/index.php/pc/index 200 "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0"
66.249.65.219 bot - "2018-03-25 02:54:54" http://promotionalcommunications.org/index.php/pc/article/view/62 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
148.64.56.75 - - "2018-03-25 03:00:54" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (compatible; GrapeshotCrawler/2.0; +http://www.grapeshot.co.uk/crawler.php)"
66.249.65.218 bot - "2018-03-25 03:14:59" http://promotionalcommunications.org/index.php/pc/article/view/63 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.155 bot - "2018-03-25 03:22:38" http://promotionalcommunications.org/index.php/pc/article/view/85 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
157.55.39.248 bot - "2018-03-25 03:26:58" http://promotionalcommunications.org/index.php/pc/article/download/96/110 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
39.33.125.126 - - "2018-03-25 03:28:07" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
66.249.65.155 bot - "2018-03-25 03:28:20" http://promotionalcommunications.org/index.php/pc/article/view/21 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
39.33.125.126 - - "2018-03-25 03:28:52" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
66.249.65.218 bot - "2018-03-25 03:28:53" http://promotionalcommunications.org/index.php/pc/article/view/81 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.219 bot - "2018-03-25 03:29:09" http://promotionalcommunications.org/index.php/pc/article/view/91 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
157.55.39.248 bot - "2018-03-25 03:29:47" http://promotionalcommunications.org/index.php/pc/article/download/73/90 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.248 bot - "2018-03-25 03:34:47" http://promotionalcommunications.org/index.php/pc/article/download/89/103 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
111.68.106.98 - - "2018-03-25 03:35:31" http://promotionalcommunications.org/index.php/pc/article/download/116/124 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
111.68.106.98 - - "2018-03-25 03:35:36" http://promotionalcommunications.org/index.php/pc/article/download/116/124 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
66.249.65.155 bot - "2018-03-25 03:37:42" http://promotionalcommunications.org/index.php/pc/article/view/61 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
207.46.13.158 bot - "2018-03-25 03:40:02" http://promotionalcommunications.org/index.php/pc/article/view/98 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
148.251.237.246 - - "2018-03-25 03:47:59" http://promotionalcommunications.org/index.php/pc/article/view/73 200 "Mozilla/5.0 (X11; Linux x86_64; rv:58.0) Gecko/20100101 Firefox/58.0"
5.9.106.81 - - "2018-03-25 03:48:02" http://promotionalcommunications.org/index.php/pc/article/view/73 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
78.46.90.120 - - "2018-03-25 03:48:17" http://promotionalcommunications.org/index.php/pc/article/view/73 200 "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
66.249.65.153 bot - "2018-03-25 03:54:11" http://promotionalcommunications.org/index.php/pc/article/download/97/111 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
41.43.140.195 - - "2018-03-25 04:02:06" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
41.43.140.195 - - "2018-03-25 04:02:09" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
